# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
53, 26, 47, 110, 0.9996, 1.0000, 1.7905, 34, 34
53, 42, 102, 115, 0.9997, 1.0000, 1.2487, 15, 16
53, 47, 21, 3, 0.9997, 1.0000, 1.2487, 13, 14
53, 53, 124, 108, 0.9997, 0.7664, 1.7408, 10, 10
53, 63, 124, 124, 0.9995, 0.7268, 0.7288, 4, 5
54, 18, 70, 30, 0.9997, 1.0000, 1.2765, 43, 43
54, 42, 103, 115, 0.9997, 1.0000, 1.0751, 16, 17
54, 47, 22, 3, 0.9997, 1.0000, 1.0417, 14, 15
54, 53, 126, 109, 0.9997, 0.8081, 2.1109, 11, 11
54, 59, 117, 106, 0.9997, 0.6831, 1.6269, 7, 7
54, 63, 127, 124, 0.9996, 0.7622, 2.2905, 5, 6
55, 18, 72, 31, 0.9997, 1.0000, 1.8685, 44, 44
55, 26, 45, 110, 0.9997, 1.0000, 1.1122, 36, 36
55, 42, 104, 116, 0.9997, 1.0000, 1.2645, 17, 18
55, 47, 23, 3, 0.9997, 1.0000, 1.0000, 15, 16
55, 53, 127, 109, 0.9997, 0.8497, 1.2976, 12, 12
55, 59, 119, 107, 0.9997, 0.7248, 2.0287, 8, 8
55, 65, 51, 108, 0.8107, 0.5830, 18.3250, 3, 4
56, 18, 73, 31, 0.9997, 1.0000, 1.2669, 45, 45
56, 26, 44, 110, 0.9997, 1.0000, 1.1521, 37, 37
56, 42, 104, 117, 0.9997, 1.0000, 1.0411, 18, 19
56, 47, 24, 3, 0.9997, 1.0000, 1.0009, 16, 17
56, 53, 121, 108, 0.9955, 0.8881, 5.2091, 13, 13
56, 67, 2, 6, 0.9980, 0.6946, 0.7813, 3, 4
57, 18, 75, 32, 0.9997, 1.0000, 1.9085, 46, 46
57, 42, 105, 117, 0.9997, 1.0000, 0.7584, 19, 20
57, 47, 25, 4, 0.9997, 1.0000, 1.2486, 17, 18
57, 64, 60, 115, 0.9996, 0.6831, 1.2657, 8, 8
58, 18, 76, 32, 0.9997, 1.0000, 1.2765, 47, 47
